year_of_elections,date_of_elections,has_won,manner_of_winning,name,party,birthday,age_on_elections,sex,city,lat,lng,province,region,island,birth_order,sibling_no,alma_mater,hi_educ_attain,last_college_attended,degree_obtained,last_job,no_of_govt_positions_served,served_in_gov't,years_of_service,is_married
1935,09/16/1935,0,,Gregorio Aglipay Cruz y Labayán,Republican Party,05/05/1860,75,1,Batac,18.0561,120.5642,Ilocos Norte,Region I,Luzon,Youngest Child,3,2,College,University of Sto. Tomas,,Supreme Bishop,,0,,0
1941,11/12/1941,0,,Hilario Camino (Moncado) Del Prado,Modernist Party,11/04/1898,43,1,Balamban,10.5000,123.7167,Cebu,Region VII,Visayas,Youngest Child,1,1,College,College of Mystery and Psychics,Mystical Studies,Founder,,0,,1
1946,04/23/1946,0,,Hilario Camino (Moncado) Del Prado,Modernist Party,11/04/1898,47,1,Balamban,10.5000,123.7167,Cebu,Region VII,Visayas,Youngest Child,1,1,College,College of Mystery and Psychics,Mystical Studies,Founder,,0,,1
1992,05/11/1992,0,,Imelda Remedios Visitacion Trinidad Romualdez,Kilusang Bagong Lipunan,07/02/1929,62,0,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Firstborn,5,0,Secondary Education,,,First Lady,3,1,20.17,1
2016,05/09/2016,0,,"Jejomar ""Jojo"" Cabauatan Binay",United Nationalist Alliance,11/11/1942,73,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Middle Child,4,4,Masters,University of the Philippines,Political Science,Vice President,6,1,29.83,1
2010,05/10/2010,0,,"John Carlos ""JC"" Gordon de los Reyes",Ang Kapatiran,02/14/1970,40,1,Olongapo City,14.8333,120.2833,Zambales,Region III,Luzon,Only Child,1,3,Masters,Franciscan University of Steubenville,Theology,Council Member,1,1,6,1
1998,05/11/1998,0,,Jose Claveria de Venecia Jr.,Lakas-CMD,12/26/1936,61,1,Dagupan,16.0439,120.3333,Pangasinan,Region I,Luzon,Only Child,1,1,College,Ateneo de Manila,Journalism,House of Representatives Member,3,1,13.74,1
1949,11/08/1949,0,,José Dira Avelino,Liberal Party,08/05/1890,59,1,Calbayog,12.0720,124.6071,Samar,Region VIII,Visayas,Firstborn,1,2,College,University of Sto. Tomas,Law,Senator,7,1,23.62,1
1998,05/11/1998,1,Landslide votes,Jose Marcelo Ejercito Sr.,Laban ng Makabayang Masang Pilipino,04/19/1937,61,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Middle Child,8,2,Secondary Education,,,Cabinet Member,3,1,26.16,1
2010,05/10/2010,0,,Jose Marcelo Ejercito Sr.,Pwersa ng Masang Pilipino        ,04/19/1937,73,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Middle Child,8,2,Secondary Education,,,President,3,1,28.73,1
1943,10/14/1943,1,Proclamation,José Paciano Laurel y García,Nacionalista Party,03/09/1891,52,1,Tanauan,11.1167,124.3500,Batangas,Region IV A,Luzon,Middle Child,4,3,Doctorate,University of the Philippines,Law,Minister of the Interior,6,1,13.8,1
1949,11/08/1949,0,,José Paciano Laurel y García,Nacionalista Party,03/09/1891,58,1,Tanauan,11.1167,124.3500,Batangas,Region IV A,Luzon,Middle Child,4,3,Doctorate,University of the Philippines,Law,President,7,1,15.65,1
1957,11/12/1957,0,,José Yulo Yulo,Liberal Party,09/24/1894,63,1,Bago,10.5333,122.8333,Negros Occidental,Region VI,Visayas,Youngest Child,1,1,College,University of the Philippines,Law,Chief Justice,3,1,10.54,1
1992,05/11/1992,0,,"Jovito ""Jovy"" Reyes Salonga",Liberal Party,06/22/1920,71,1,Pasig,14.5764,121.0851,Rizal,Region IV A,Luzon,Middle Child,5,3,College,University of the Philippines,Law,Senator,4,1,15.75,1
1998,05/11/1998,0,,Juan Furagganan Ponce Enrile Sr.,Independent,02/14/1924,74,1,Gonzaga,18.2478,121.9578,Cagayan,Region II,Luzon,Only Child,0,3,Masters,University of the Philippines,Law,House of Representatives Member,4,1,25.45,1
1941,11/11/1941,0,,Juan Marquez Sumulong Sr.,Popular Front,12/27/1875,65,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Only Child,0,2,College,University of Sto. Tomas,Law,Senator,1,1,1.71,1
2022,05/09/2022,0,,"Leodegario ""Ka Leody"" Quitain de Guzman",Partido Lakas ng Masa,07/25/1959,62,1,Naujan,13.3298,121.2816,Oriental Mindoro,Region IV B,Luzon,Only Child,0,1,College,Philippine Maritime Colleges,Customs Administration,Labor unionist,,0,,1
2010,05/10/2010,0,,"Manuel ""Manny"" Bamba Villar Jr.",Nacionalista Party,12/13/1949,60,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Only Child,0,1,Masters,University of the Philippines,Business Administration,Senator,6,1,17.87,1
1998,05/11/1998,0,,"Manuel ""Manoling"" Lim Morato",Partido Bansang Marangal,11/17/1933,64,1,Quezon City,14.6760,121.0437,Metro Manila,NCR,Luzon,Firstborn,11,0,,,,Cabinet Member,2,1,6.35,
2016,05/09/2016,0,,"Manuel ""Mar"" Araneta Roxas II",Liberal Party,05/13/1957,58,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Middle Child,3,2,College,Wharton School of the University of Pennsylvania,Economics,Cabinet Member,5,1,20.55,1
1946,04/23/1946,1,Narrow votes,Manuel Acuña Roxas,Nacionalista Party,01/01/1892,54,1,Roxas City,11.5851,122.7511,Capiz,Region VI,Visayas,Youngest Child,3,2,College,University of the Philippines,Law,Senator,8,1,22.5,1
1935,09/16/1935,1,Landslide votes,Manuel Luis Quezon y Molina,Nacionalista Party,08/19/1878,57,1,Baler,15.7578,121.5601,Aurora,Region III,Luzon,Firstborn,2,2,College,University of Sto. Tomas,Law,Senator,9,1,29.1,1
1941,11/11/1941,1,Landslide votes,Manuel Luis Quezon y Molina,Nacionalista Party,08/19/1878,63,1,Baler,15.7578,121.5601,Aurora,Region III,Luzon,Firstborn,2,2,College,University of Sto. Tomas,Law,Senator,9,1,29.57,1
1957,11/12/1957,0,,Manuel Manahan,Progressive Party,01/01/1916,41,1,Caba,16.4417,120.3494,La Union,Region I,Luzon,Middle Child,4,1,College,Ateneo de Manila,,Commissioner,1,1,3,1
2010,05/10/2010,0,,Maria Ana Consuelo Madrigal-Valade,Independent,04/26/1958,52,0,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Middle Child,2,2,Masters,Santa Clara University,Economics,Senator,3,1,14.01,1
1986,02/07/1986,1,Revolution,"Maria Corazon ""Cory"" Sumulong Cojuangco Aquino",United Nationalist Democratic Organization,01/25/1933,53,0,Paniqui,15.6667,120.5833,Tarlac,Region III,Luzon,Middle Child,7,2,College,College of Mount Saint Vincent,French Major,Housewife,,0,,0
2004,05/10/2004,1,Narrow votes,Maria Gloria Macaraeg Macapagal Arroyo,Lakas-CMD,04/05/1947,57,0,San Juan,14.6019,121.0311,Rizal,Region IV A,Luzon,Middle Child,3,4,Doctorate,Assumption College San Lorenzo,Economics,Vice President,3,1,8.38,1
2022,05/09/2022,0,,"Maria Leonor ""Leni"" Gerona Robredo",Independent,04/23/1965,57,0,Naga,13.6218,123.1947,Camarines Sur,Region V,Luzon,Firstborn,3,3,College,University of the Philippines,Economics,Vice President,4,1,8.86,0
2016,05/09/2016,0,,Mary Grace Natividad Sonora Poe-Llamanzares,Independent,09/03/1968,47,0,Jaro,10.7200,122.5541,Iloilo,Region VI,Visayas,Only Child,0,2,College,Boston College,Political Science,Senator,2,1,4.84,1
1992,05/11/1992,0,,Miriam Palma Defensor-Santiago,People's Reform Party,06/15/1945,46,0,Iloilo City,10.7202,122.5621,Iloilo,Region VI,Visayas,Middle Child,2,4,Doctorate,University of the Philippines,Political Science,Cabinet Member,1,1,0.46,1
1998,05/11/1998,0,,Miriam Palma Defensor-Santiago,People's Reform Party,06/15/1945,52,0,Iloilo City,10.7202,122.5621,Iloilo,Region VI,Visayas,Middle Child,2,4,Doctorate,University of the Philippines,Political Science,Senator,2,1,3.32,1
2016,05/09/2016,0,,Miriam Palma Defensor-Santiago,People's Reform Party,06/15/1945,70,0,Iloilo City,10.7202,122.5621,Iloilo,Region VI,Visayas,Middle Child,2,4,Doctorate,University of the Philippines,Political Science,Senator,4,1,18.47,1
2010,05/10/2010,0,,"Nicanor Jesús ""Nick/Nicky"" Pineda Perlas III",Independent,01/10/1950,60,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Only Child,0,2,College,Xavier University,Agriculture,Editor in Chief,,0,,1
2022,05/09/2022,0,,Norberto Borja Gonzales,Philippine Democratic Socialist Party,04/17/1947,75,1,Balanga,14.6761,120.5361,Bataan,Region III,Luzon,Only Child,0,2,College,Ateneo de Davao,,Cabinet Member,2,1,0.72,1
2004,05/10/2004,0,,"Panfilo ""Ping"" Morena Lacson Sr.",Laban ng Demokratikong Pilipino,06/01/1948,55,1,Imus,14.4296,120.9369,Cavite,Region IV A,Luzon,Middle Child,7,3,Masters,Pamantasan ng Lungsod ng Maynila,Government Management,Senator,2,1,4.04,1
2022,05/09/2022,0,,"Panfilo ""Ping"" Morena Lacson Sr.",Laban ng Demokratikong Pilipino,06/01/1948,73,1,Imus,14.4296,120.9369,Cavite,Region IV A,Luzon,Middle Child,7,3,Masters,Pamantasan ng Lungsod ng Maynila,Government Management,Senator,5,1,20.29,1
1935,09/16/1935,0,,Pascual B. Racuyal,Independent,01/01/1911,24,1,Cebu City,10.3157,123.8854,Cebu,Region VII,Visayas,,,,,,,Mechanic,,0,,
1969,11/09/1969,0,,Pascual B. Racuyal,Independent,01/01/1911,58,1,Cebu City,10.3157,123.8854,Cebu,Region VII,Visayas,,,,,,,Mechanic,,0,,
1953,11/10/1953,1,Landslide votes,Ramon del Fierro Magsaysay Sr.,Nacionalista Party,08/31/1907,46,1,Iba,15.3276,119.9786,Zambales,Region III,Luzon,Firstborn,8,1,College,Jose Rizal University,Commerce,Cabinet Member,2,1,6.76,1
1992,05/11/1992,0,,Ramon Villarosa Mitra Jr.,Laban ng Demokratikong Pilipino,02/04/1928,64,1,Puerto Princesa,9.7489,118.7444,Palawan,Region IV B,Luzon,Only Child,0,1,College,San Beda College,Law,House of Representatives Member,7,1,14.29,1
1965,11/09/1965,0,,Raul Manglapus,Party for Philippine Progress,10/20/1918,47,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Firstborn,1,1,College,Ateneo de Manila,,Senator,2,1,3.78,1
1998,05/11/1998,0,,Raul Sagarbarria Roco,Aksyon Demokratiko,10/26/1941,56,1,Naga City,13.6218,123.1947,Camarines Sur,Region V,Luzon,Only Child,0,2,Masters,San Beda College,English Studies,Senator,2,1,10.87,1
2004,05/10/2004,0,,Raul Sagarbarria Roco,Aksyon Demokratiko,10/26/1941,62,1,Naga City,13.6218,123.1947,Camarines Sur,Region V,Luzon,Only Child,0,2,Masters,San Beda College,English Studies,Senator,3,1,15.18,1
1998,05/11/1998,0,,"Renato ""Rene"" Salud de Villa",Partido para sa Demokratikong Reporma–Lapiang Manggagawa,07/20/1935,62,1,San Juan,14.6019,121.0311,Batangas,Region IV A,Luzon,Only Child,0,3,Masters,Asian Institute of Management,Business Management,Cabinet Member,2,1,9.16,1
2010,05/10/2010,0,,Richard Juico Gordon,Bagumbayan-VNP,08/05/1945,64,1,Castillejos,14.9500,120.2000,Zambales,Region III,Luzon,Firstborn,3,2,College,University of the Philippines,Law,Senator,6,1,27.09,1
2016,05/09/2016,1,Majority votes,Rodrigo Roa Duterte,Partido Demokratiko Pilipino-Lakas ng Bayan,03/28/1945,71,1,Maasin,10.1333,124.8500,Leyte,Region VIII,Visayas,Middle Child,4,2,College,San Beda College,Law,Mayor,5,1,30,1
2004,05/10/2004,0,,Ronald Allan Kelley Poe,Koalisyon ng Nagkakaisang Pilipino,08/20/1939,64,1,San Carlos,15.9300,120.3500,Pangasinan,Region I,Luzon,Firstborn,6,2,College,University of the East,Theater Arts,Actor,,0,,1
1992,05/11/1992,0,,Salvador Roman Hidalgo Laurel,Nacionalista Party,11/18/1928,63,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Middle Child,8,3,Doctorate,University of the Philippines,Law,Vice President,5,1,16.35,1
1969,11/09/1969,0,,"Sergio ""Serging"" Veloso Osmeña Jr.",Liberal Party,12/04/1916,52,1,Cebu City,10.3157,123.8854,Cebu,Region VII,Visayas,Middle Child,14,2,College,Ateneo de Manila,Commerce,Senator,4,1,7.28,1
1944,08/08/1944,1,Succession,Sergio Osmeña Sr.,Nacionalista Party,09/09/1878,65,1,Cebu City,10.3157,123.8854,Cebu,Region VII,Visayas,Only Child,0,2,College,University of Sto. Tomas,Law,Vice President,8,1,40.61,1
1946,04/23/1946,0,,Sergio Osmeña Sr.,Nacionalista Party,09/09/1878,67,1,Cebu City,10.3157,123.8854,Cebu,Region VII,Visayas,Only Child,0,2,College,University of Sto. Tomas,Law,President,9,1,42.43,1
